,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
12,Suffer Love,"To the Edge of the Sky: A Story of Love, Betrayal, Suffering, and the Strength of Human Courage",Anhua Gao,The Overlook Press,312,4.23,"('3', '24', '2003')",2003
13,Suffer Love,You Only Love Me When I'm Suffering: Poems,Jon Lupin The Poetry Bandit,Castle Point Books,268,3.63,"('9', '18', '2018')",2018
14,Suffer Love,How to Suffer Through Love: A Memoir of Communication & Breakdowns,J. Aaron Blecher,not yet re-leased,1,5.00,"(None, None, '2007')",2007
15,Suffer Love,"The Mended Heart: A Poet's Journey through Love, Suffering, and Hope",Rhonda Milner,River Grove Books,39,4.06,"('4', '2', '2019')",2019
16,Suffer Love,"You Were Not Born to Suffer Sampler: How to Overcome Fear, Insecurity and Depression and Love Yourself Back to Freedome, Happiness and Peace",Blake D. Bauer,,43,4.21,"(None, None, None)",
17,Suffer Love,"Eros and Pathos: Shades of Love and Suffering (Studies in Jungian Psychology by Jungian Analysts, 40)",Aldo Carotenuto,Inner City Books,108,4.44,"('11', '1', '1989')",1989
18,Suffer Love,"To Love, Suffer and Forgive",jorg,Archive of Our Own,1,4.00,"('9', '30', '2018')",2018
19,Suffer Love,Out of the FOG: Information & Support for those with a Family Member or Loved One who Suffers From a Personality Disorder,Gary Walters,Out of the FOG http://www.outofthefog.net,48,3.92,"('11', '6', '2011')",2011
0,Simon vs. The Homo Sapiens Agenda,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,Balzer + Bray,251521,4.29,"('4', '7', '2015')",2015
1,Simon vs. The Homo Sapiens Agenda,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
2,Simon vs. The Homo Sapiens Agenda,Summary & Study Guide: Simon vs. the Homo Sapiens Agenda,BookRags,,0,0.00,"(None, None, None)",
3,Simon vs. The Homo Sapiens Agenda,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli: Conversation Starters,BookHabits,Blurb,4,3.75,"('5', '22', '2019')",2019
4,Simon vs. The Homo Sapiens Agenda,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli | Summary & Analysis,Nosco Publishing,,1,5.00,"(None, None, None)",
5,Simon vs. The Homo Sapiens Agenda,Penguin Readers Level 5: Simon vs. The Homo Sapiens Agenda (ELT Graded Reader),Becky Albertalli,Penguin,0,0.00,"('5', '6', '2021')",2021
6,Simon vs. The Homo Sapiens Agenda,Summary of Simon vs. the Homo Sapiens Agenda by Becky Albertalli | Conversation Starters,BookHabits,Cb,0,0.00,"('11', '26', '2018')",2018
0,The Upside of Unrequited,"The Upside of Unrequited (Simonverse, #2)",Becky Albertalli,Balzer + Bray,53028,3.95,"('4', '11', '2017')",2017
1,The Upside of Unrequited,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
0,Leah on the Offbeat,"Leah on the Offbeat (Creekwood, #2)",Becky Albertalli,HarperCollins/Balzer + Bray,48989,3.86,"('4', '24', '2018')",2018
1,Leah on the Offbeat,"The Simonverse Novels 3-Book Box Set: Simon vs. the Homo Sapiens Agenda, The Upside of Unrequited, and Leah on the Offbeat",Becky Albertalli,Balzer + Bray,50,4.54,"('10', '22', '2019')",2019
0,Kate in Waiting,Kate in Waiting,Becky Albertalli,Balzer + Bray,57,4.41,"('4', '20', '2021')",2021
1,Kate in Waiting,Kate: Kate Middleton: Princess in Waiting,Claudia Joseph,Mainstream Publishing,122,3.37,"('4', '2', '2009')",2009
2,Kate in Waiting,"The Secret Keeper: A Novel of Kateryn Parr (Ladies in Waiting, #2)",Sandra Byrd,Howard Books,889,4.01,"('6', '5', '2012')",2012
3,Kate in Waiting,"KATE: Loyal Wife, Royal Mother, Queen-In-Waiting",Jessica Long,,75,3.37,"(None, None, None)",
4,Kate in Waiting,"Waiting for You (Indigo, #2)",Kate McBrien,,29,4.24,"('10', '15', '2018')",2018
5,Kate in Waiting,"Waiting for Kate: A tale of melancholy, motherhood, sisterhood and love, set in a small village in the Middle East, where tea cups line the balcony.",Kate Dewinter,,3,2.33,"(None, None, None)",
6,Kate in Waiting,Ladies in Waiting,Kate Douglas Wiggin,Legacy Romance,19,3.53,"('7', '20', '2012')",2012
7,Kate in Waiting,Open Road: A life worth waiting for,Kate Ingersoll,Katie Ingersoll,5,4.40,"('1', '24', '2014')",2014
8,Kate in Waiting,Duchess in Waiting,Kate Coleman,,3,2.94,"(None, None, None)",
9,Kate in Waiting,Utopia and Dystopia in the Age of Trump: Images from Literature and Visual Arts,Barbara Brodman,Fairleigh Dickinson University Press,1,3.50,"('6', '4', '2019')",2019
10,Kate in Waiting,Wembley 2008: 129 Years in the Waiting for Doncaster Rovers,Steve Uttley,,0,0.00,"(None, None, None)",
0,Love Creekwood,"Love, Creekwood (Simonverse, #3.5)",Becky Albertalli,Balzer + Bray,3825,3.85,"('6', '30', '2020')",2020
0,What if It's Us,"What If It's Us (What If It's Us, #1)",Becky Albertalli,HarperTeen,49699,3.91,"('10', '9', '2018')",2018
1,What if It's Us,"Here's to Us (What If It's Us, #2)",Becky Albertalli,HarperTeen,24,4.36,"(None, None, '2021')",2021
2,What if It's Us,Back From the Future!: What Would the Word of God Reveal to Us If We Employed the Bible as the Key to Unlocking its Own Mysteries? (Keys to the Kingdom Book 3),Dennis Blackwell,,0,0.00,"(None, None, None)",
3,What if It's Us,"Good days start with gratitude Journal: Great way for kids to learn to appreciate life! It is so easy to use! Even if your kid isn't old enough to write in them, it's fun to take 30 minutes to work with your kids to talk about what they're grateful for",Lady Chris,Independently Published,0,0.00,"('1', '1', '2020')",2020
4,What if It's Us,"What If Soy Milk Is Just Regular Milk Introducing Itself in Spanish: Funny Cat Meme Book Caturday Gift. Perfect for School, Writing Poetry, Use as a Diary, Gratitude Writing, Travel Journal or Dream Journal",Cat Meme Publishers,Independently Published,0,0.00,"('2', '24', '2019')",2019
0,Dessert First,"Strawberries for Dessert (Coda Books, #4; Strawberries for Dessert, #1)",Marie Sexton,Dreamspinner Press,4767,4.15,"('8', '6', '2010')",2010
1,Dessert First,"Summer Desserts (Great Chefs, #1)",Nora Roberts,Silhouette Books,2445,3.70,"('1', '1', '1993')",1993
2,Dessert First,The Lady  Sons Just Desserts: More Than 120 Sweet Temptations from Savannah's Favorite Restaurant,Paula H. Deen,Simon  Schuster,2796,4.14,"('4', '10', '2006')",2006
3,Dessert First,"Éclair and Present Danger (An Emergency Dessert Squad Mystery, #1)",Laura Bradford,Berkley,795,3.77,"('6', '7', '2016')",2016
4,Dessert First,"You Belong with Me (Love and Dessert Trilogy, #1)",Shannon Guymon,,676,3.90,"('5', '28', '2013')",2013
5,Dessert First,"Chloe's Vegan Desserts: More than 100 Exciting New Recipes for Cookies and Pies, Tarts and Cobblers, Cupcakes and Cakes--and More!",Chloe Coscarelli,Atria Books,637,4.26,"('2', '19', '2013')",2013
6,Dessert First,Dessert First,Dean Gloster,Simon Pulse,171,4.06,"('9', '2', '2016')",2016
7,Dessert First,The Beekman 1802 Heirloom Dessert Cookbook: 100 Delicious Heritage Recipes from the Farm and Garden,Brent Ridge,Rodale Books,453,4.10,"('9', '10', '2013')",2013
8,Dessert First,"Death by Chocolate (Dessert First Cozy Mysteries, #1)",Carol Lee,Bristlecone Books,187,3.29,"('4', '6', '2013')",2013
9,Dessert First,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Shelly Jaronsky,Gallery Books,212,4.37,"('4', '12', '2016')",2016
10,Dessert First,"The Blender Girl: Super-Easy, Super-Healthy Meals, Snacks, Desserts, and Drinks--100 Gluten-Free, Vegan Recipes!",Tess Masters,Ten Speed Press,417,3.86,"('4', '8', '2014')",2014
11,Dessert First,"Just Dessert (Decadent, #1)",Kelly Collins,Createspace,95,4.09,"('4', '4', '2014')",2014
12,Dessert First,"Macarons at Midnight (Just Desserts, #1)",M.J. O'Shea,Dreamspinner Press,384,3.63,"('10', '13', '2014')",2014
13,Dessert First,"I Always Eat My Dessert First Seven Days of Encouragement, Affirmation, and Reflection",Rhondra O. Willis,"Nicole Group, Inc.",1,5.00,"('5', '20', '2014')",2014
14,Dessert First,Food52 Genius Desserts: 100 Recipes That Will Change the Way You Bake,Kristen Miglore,Ten Speed Press,228,4.27,"('9', '4', '2018')",2018
15,Dessert First,"Just Desserts: A Curvy Woman Romance (Just Desserts, #1)",C.L. Cruz,,229,4.37,"('9', '3', '2020')",2020
16,Dessert First,Dessert First,Hallie Durand,Atheneum Books for Young Readers,186,3.53,"('5', '19', '2009')",2009
17,Dessert First,"Handmade Chocolate: A ""How-To"" Simple Recipies Cookbook (Delicious -Yummy Desserts: Truffels, Fudge & Ganache) (Handmade Desserts collection Series 1)",Adi Endevelt,,70,4.00,"(None, None, None)",
18,Dessert First,The Sweetest Thing (Just Desserts #1),Deborah Fletcher Mello,Dafina,97,4.19,"('3', '4', '2014')",2014
19,Dessert First,"Room for Dessert: 110 Recipes for Cakes, Custards, Souffles, Tarts, Pies, Cobblers, Sorbets, Sherbets, Ice Creams, Cookies, Candies, and Cordials",David Lebovitz,HarperCollins Publishers,126,4.37,"('11', '1', '1999')",1999
0,War & Speech,War and Speech,Don Zolidis,,113,4.04,"(None, None, None)",
1,War & Speech,"Abraham Lincoln, Slavery, and the Civil War: Selected Writings and Speeches",Abraham Lincoln,Bedford/St. Martin's,60,3.92,"('9', '15', '2000')",2000
2,War & Speech,Winston Churchill Biography & War Speeches: Winston Churchill’s Life and War World War 2 Speeches Under the Microscope,Ramon Jaeger,,10,4.20,"(None, None, None)",
3,War & Speech,"The Socialist Workers Party in World War II: Writings and Speeches, 1940-43",James P. Cannon,Pathfinder,7,3.50,"('1', '1', '1975')",1975
4,War & Speech,"LINCOLN – Complete 7 Volume Edition: Biographies, Speeches and Debates, Civil War Telegrams, Letters, Presidential Orders & Proclamations: Including the ... and Abraham Lincoln by Joseph H. Choate",Abraham Lincoln,,19,3.95,"(None, None, None)",
5,War & Speech,Jefferson Davis and General Robert E. Lee's Civil War Speeches and Letters (Great Americans),Jefferson Davis,,1,5.00,"(None, None, None)",
6,War & Speech,"Tear Down This Wall: A City, a President, and the Speech that Ended the Cold War",Romesh Ratnesar,Simon & Schuster,167,3.60,"('11', '3', '2009')",2009
7,War & Speech,"Words of War and Peace: Great Speeches of War, Conflict, and Military History",Lee Prescott,Beacon Hill,1,2.67,"('4', '20', '2009')",2009
8,War & Speech,The Civil War: Great Speeches and Documents,Bob Blaisdell,Dover Publications,2,4.00,"('6', '20', '2016')",2016
9,War & Speech,Famous Civil War Documents and Speeches,Bob Blaisdell,,0,4.29,"(None, None, None)",
10,War & Speech,"Churchill Speaks: Winston S. Churchill in Peace & War: Collected Speeches, 1897-1963",Winston S. Churchill,Chelsea House Publications,1,4.29,"('12', '1', '1980')",1980
11,War & Speech,"Peace & Union--War & Disunion; Speech of Hon. John McKeon, Delivered Before the Democratic Union Association, at Their Headquarters ..",John J.  McKeon,Palala Press,0,0.00,"('5', '5', '2016')",2016
12,War & Speech,A Just War and Other Speeches,Ernesto F. Herrera,,0,0.00,"(None, None, None)",
13,War & Speech,"The American War and Slavery.  Speech of the Honorable George Brown of the Anniversary Meeting of the Anti-Slavery Society of Canada, Held at Toronto, on Wednesday, February 3, 1863",George Brown,Union and Emancipation Society,1,2.00,"(None, None, '1863')",1863
14,War & Speech,"Information War: American Propaganda, Free Speech and Opinion Control Since 9-11",Nancy Snow,Seven Stories Press,31,3.53,"('8', '5', '2003')",2003
15,War & Speech,"Peace and Union War and Disunion: Speech of Hon. John McKeon, Delivered Before the Democratic Union Association, at Their Headquarters, No; 932 Broadway, on Tuesday Evening, March 3 (Classic Reprint)",John McKeon,Forgotten Books,0,0.00,"('12', '12', '2018')",2018
16,War & Speech,"Debate with Douglas: And, War-Time Speeches and Papers",Abraham Lincoln,Sagwan Press,0,0.00,"('8', '24', '2015')",2015
17,War & Speech,Lincoln's Last Speech: Wartime Reconstruction and the Crisis of Reunion,Louis P. Masur,"Oxford University Press, USA",16,3.30,"('4', '1', '2015')",2015
18,War & Speech,"WAR & POLITICS Boxed Set: 200+: War and military Novels & Series, US Politics, Feminist Speeches & Novels, The Mueller Report....",Leo Tolstoy,,1,5.00,"(None, None, None)",
19,War & Speech,"CHURCHILL: Historical Books, Memoirs, Essays, Speeches & Letters: The Second World War, My Early Life, A History of the English-Speaking Peoples, My African ... March, The World Crisis, Savrola…",Winston S. Churchill,,5,3.60,"(None, None, None)",
0,Seven Torments of Amy and Craig,The Seven Torments of Amy and Craig,Don Zolidis,Disney-Hyperion,637,3.93,"('10', '2', '2018')",2018
0,Rebel Girls,Good Night Stories for Rebel Girls: 100 Tales of Extraordinary Women,Elena Favilli,Timbuktu Labs,14581,4.35,"('12', '1', '2016')",2016
1,Rebel Girls,Good Night Stories for Rebel Girls 2,Elena Favilli,Timbuktu,3111,4.41,"(None, None, '2017')",2017
2,Rebel Girls,"A Dark and Stormy Knight (Victorian Rebels, #7; Goode Girls Romance, #1)",Kerrigan Byrne,Gnarly Wool Publishing,1192,4.22,"('6', '2', '2020')",2020
3,Rebel Girls,Rebel Girls,Elizabeth Keenan,Inkyard Press,112,3.65,"('9', '10', '2019')",2019
4,Rebel Girls,Fat Angie: Rebel Girl Revolution,E.E. Charlton-Trujillo,Candlewick Press,186,3.64,"('3', '5', '2019')",2019
5,Rebel Girls,"Rebel Sisters (War Girls, #2)",Tochi Onyebuchi,Razorbill,7,3.87,"('11', '17', '2020')",2020
6,Rebel Girls,Dr. Wangari Maathai Plants a Forest,Rebel Girls,,92,4.43,"(None, None, None)",
7,Rebel Girls,Junko Tabei Masters the Mountains,Rebel Girls,,73,4.44,"(None, None, None)",
8,Rebel Girls,"Girls with Rebel Souls (Girls with Sharp Sticks, #3)",Suzanne Young,,1,5.00,"(None, None, None)",
9,Rebel Girls,Alicia Alonso Takes the Stage,Rebel Girls,,37,4.15,"(None, None, None)",
10,Rebel Girls,Ada Lovelace Cracks the Code (Rebel Girls Chapter Books),Rebel Girls,,12,4.19,"(None, None, None)",
11,Rebel Girls,Madam C.J. Walker Builds a Business (Rebel Girls Chapter Books),Rebel Girls,,16,4.30,"(None, None, None)",
12,Rebel Girls,Good Night Stories for Rebel Girls: 100 Immigrant Women Who Changed the World,Elena Favilli,Rebel Girls,148,4.39,"('10', '13', '2020')",2020
13,Rebel Girls,"The Rebel Girl: An Autobiography, My First Life 1906-26",Elizabeth Gurley Flynn,International Publishers (NYC),76,4.16,"('12', '1', '1973')",1973
14,Rebel Girls,"Black Sheep Rebel Girl: The Almost True Tales, Thoughts, and Observations of a Life Long...",Rachel Hutcheson,,14,4.35,"(None, None, None)",
15,Rebel Girls,"Rebel, Rebel (Girl Talk, #4)",L.E. Blair,,185,3.68,"(None, None, '1990')",1990
16,Rebel Girls,Star Wars Volume 3: Rebel Girl,Brian Wood,Dark Horse Books,237,3.24,"('10', '14', '2014')",2014
17,Rebel Girls,The Case of the Rebel Girl,R.C. Bot,,13,3.46,"(None, None, None)",
18,Rebel Girls,"Rebel Girl (Secrets at St Jude's, #4)",Carmen Reid,Corgi,134,3.93,"('8', '9', '2010')",2010
19,Rebel Girls,Rebel Girls,Jill Liddington,Virago,49,4.10,"('5', '4', '2006')",2006
0,The Art of Escaping,The Art of Escaping,Erin  Callahan,Amberjack Publishing,232,3.88,"('6', '19', '2018')",2018
1,The Art of Escaping,Houdini's Box: The Art of Escape,Adam Phillips,Vintage,93,3.66,"('8', '13', '2002')",2002
2,The Art of Escaping,Hygge: The Danish Art of Escaping the Hustle & Bustle of Modern Life and Finding Happiness in Simple Pleasures,Julia Edwards,,33,3.32,"(None, None, None)",
3,The Art of Escaping,The Art of Madagascar: Escape 2 Africa,Jerry Beck,Insight Editions,27,4.41,"('10', '1', '2008')",2008
4,The Art of Escaping,The Art Of Unpredictability: Escape Routine. Go On Adventures. Live The Life You've Always Wanted.,Will Matthew Collette,,4,4.33,"(None, None, None)",
5,The Art of Escaping,The Art of Escape,Linda Cross,,11,3.08,"(None, None, None)",
6,The Art of Escaping,The Supreme God of Martial Arts 23: Escaping From The Battlefield Before The Fight (Living Martial Legend: A Cultivaion Novel),Mobo Reader,,71,4.21,"(None, None, None)",
7,The Art of Escaping,Dark Psychology And The Art of Reading People : Escape the Nightmare of Manipulation and Subdue Anyone's Mind with this Guide!,Jos Braithewaite,,0,0.00,"(None, None, None)",
8,The Art of Escaping,Escaping Into the Open: The Art of Writing True,Elizabeth Berg,,33,4.07,"(None, None, None)",
9,The Art of Escaping,Inside the Art of Escape - The Secrets of the Famous Tricks of the Best Escape Artists,Anonymous,Quasten Press,0,0.00,"('5', '22', '2012')",2012
10,The Art of Escaping,Zen and the Art of Creating Escape at Home,Paula Y.,,0,0.00,"(None, None, None)",
11,The Art of Escaping,A Modern Handcuff Act; The Art of Escape Volume I / 1 / one,John Jyotish Novak,Micky Hades,0,0.00,"(None, None, '1980')",1980
12,The Art of Escaping,"Dr. Wayne W. Dyer 3 Books Bundle Collection (Your Erroneous Zones: Escape negative thinking and take control of your life, Change Your Thoughts, Change Your Life: Living The Wisdom Of The Tao, Wishes Fulfilled: Mastering the Art of Manifesting)",Wayne W. Dyer,,5,4.80,"(None, None, None)",
13,The Art of Escaping,South From Ephesus: An Escape From The Tyranny Of Western Art,Brian Sewell,,19,3.53,"(None, None, None)",
14,The Art of Escaping,The American Soldier Vol 1: Escape from Obsession / Mastering the Art of Love / Amazing Grace,Dixie Lynn Dwyer,,16,4.75,"(None, None, None)",
15,The Art of Escaping,Escape from the Box: The Wonder of Human Potential,Edward L. Hubbard,,48,3.86,"(None, None, None)",
16,The Art of Escaping,"Shared Anxiety: Selected Plays (Beyond Mozambique, Zastrozzi, Theatre of the Film Noir, The Art of War, Criminals in Love, Better Living, Escape From Happiness, Tough!",George F. Walker,Talonbooks,6,4.17,"('2', '4', '2002')",2002
17,The Art of Escaping,Escape Artist: The Art of Fran Forman,Fran Forman,Schiffer Publishing,4,4.25,"('1', '28', '2015')",2015
18,The Art of Escaping,"The Money of Art: Make Money And Escape The Corporate Grind, While Staying True To Your Art",Peter Nguyen,CreateSpace Independent Publishing Platform; 1 edition,1,4.57,"('3', '2', '2015')",2015
19,The Art of Escaping,Suburban Escape: The Art of California Sprawl,Ann M. Wolfe,Center for American Places,3,3.40,"('12', '15', '2006')",2006
0,12 Steps to Normal,Twelve Steps to Normal,Farrah Penn,"Little, Brown",721,3.82,"('3', '13', '2018')",2018
0,Layoverland,Layoverland,Gabby Noone,Razorbill,1204,3.70,"('1', '21', '2020')",2020
0,Social Intercourse,Social Intercourse,Greg  Howard,Simon  Schuster Books for Young Readers,996,3.78,"('6', '5', '2018')",2018
1,Social Intercourse,"The Journal of Sarah Haynsworth Gayle, 1827-1835: A Substitute for Social Intercourse",Sarah Haynsworth Gayle,University Alabama Press,8,4.12,"('11', '5', '2013')",2013
2,Social Intercourse,Time to Talk: A Programme to Develop Oral & Social Intercourse Skills at Reception and Key,Alison Schroeder,Learning Development AIDS,14,4.50,"('3', '1', '2001')",2001
3,Social Intercourse,Ultimate Party Book: The Illustrated Guide to Social Intercourse,Christopher Fowler,,0,0.00,"(None, None, None)",
4,Social Intercourse,Social intercourse: From greeting to goodbye,Mark L. Knapp,,3,3.67,"(None, None, None)",
5,Social Intercourse,"Franklin's Contribution to Medicine, Being a Collection of Letters Written by Benjamin Franklin Bearing on the Science and Art of Medicine and Exhibiting His Social and Professional Intercourse with Various Physicians of Europe and America",Benjamin Franklin,Palala Press,1,2.00,"('12', '4', '2015')",2015
6,Social Intercourse,"China and the Chinese: A General Description of the Country and Its Inhabitants, Its Civilization and Form of Government, Its Religious and Social Institutions, Its Intercourse with Other Nations, and Its Present Condition and Prospects",John Livingston Nevius,Palala Press,0,0.00,"('6', '21', '2016')",2016
7,Social Intercourse,"The Christian Lady, and Her Course of Life, Or, Instructions in Personal Piety, Domestic Duties, and Social Intercourse from Childhood to Old Age",F.M.S.,Palala Press,0,0.00,"('9', '2', '2015')",2015
8,Social Intercourse,"An Essay, on the Manufacture of Straw Bonnets, Containing an Historical Account of the Introduction of the Manufacture, Its Effects Upon the Employments, Dress, Food, Health, Morals, Social Intercourse, &C. of the Inhabitants of the Several Towns In...",Samuel Standley,Wentworth Press,0,0.00,"('8', '26', '2016')",2016
9,Social Intercourse,BIBIRIYOWAMUSHI NO SYAKOUJUTSU: the art of social intercourse,TAKAYOSHI AKUTSU,,0,0.00,"(None, None, None)",
10,Social Intercourse,"Historical and Descriptive Account of China, Vol. 1 of 3: Its Ancient and Modern History, Language, Literature, Religion, Government, Industry, Manners, and Social State; Intercourse with Europe from the Earliest Ages; Missions and Embassies to the Imperi",Hugh Murray,Forgotten Books,0,0.00,"('10', '22', '2018')",2018
11,Social Intercourse,"The Prophet of Nazareth: Or, a Critical Inquiry Into the Prophetical, Intellectual, and Moral Character of Jesus Christ, as Exemplified in His Predictions, His Precepts, His Actions, His Discourses and His Social Intercourse (Classic Reprint)",Evan Powell Meredith,Forgotten Books,0,0.00,"('10', '27', '2018')",2018
12,Social Intercourse,"An Historical and Descriptive Account of China, Vol. 3 of 3: Its Ancient and Modern History, Language, Literature, Religion, Government, Industry, Manners, and Social State; Intercourse with Europe from the Earliest Ages; Missions and Embassies to the Imp",Hugh Murray,Forgotten Books,0,0.00,"('11', '3', '2018')",2018
13,Social Intercourse,Social Intercourse and the Combustion Engine,B.J. Biringer,VDM Verlag Dr. Mueller E.K.,0,0.00,"('5', '15', '2008')",2008
14,Social Intercourse,"The Prophet of Nazareth: Or, a Critical Inquiry Into the Prophetical, Intellectual, and Moral Character of Jesus Christ, as Exemplified in His Predictions, His Precepts, His Actions, His Discourses, and His Social Intercourse",Evan Powell Meredith,Arkose Press,0,0.00,"('10', '21', '2015')",2015
15,Social Intercourse,California Handbook Of Social Intercourse: Everything You Need To Survive In A California Social Setting,Patrick Grates,Accordion Creations,0,0.00,"('1', '1', '1994')",1994
16,Social Intercourse,"The Use of Ye, in the Function of Thou: In Middle English Literature from Ms. Auchinleck to Ms. Vernon, a Study of Grammar and Social Intercourse in Fourteenth-Century England (Classic Reprint)",Russell Osborne Stidston,Forgotten Books,0,0.00,"('10', '28', '2018')",2018
17,Social Intercourse,"The Art of Conversation: Giving Hints, Suggestions and Rules for Cultivating and Promoting Pleasant Social Intercourse (Classic Reprint)",Roger Boswell,Forgotten Books,0,0.00,"('4', '23', '2018')",2018
18,Social Intercourse,"An Historical And Descriptive Account Of China; Its Ancient And Modern History, Language, Literature, Religion, Government, Industry, Manners, And Social State; Intercourse With Europe From The Earliest Ages",Hugh Murray,Mac Donnell Press,0,0.00,"('4', '27', '2011')",2011
19,Social Intercourse,"An Historical and Descriptive Account of China, Vol. 2 of 3: Its Ancient and Modern History, Language, Literature, Religion, Government, Industry, Manners, and Social State; Intercourse with Europe from the Earliest Ages; Missions and Embassies to the Imp",Hugh Murray,Forgotten Books,0,0.00,"('10', '11', '2018')",2018
0,Cursed,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany,"Little, Brown",519064,3.62,"('7', '31', '2016')",2016
1,Cursed,"Storm Cursed (Mercy Thompson, #11)",Patricia Briggs,Ace,20727,4.42,"('5', '7', '2019')",2019
2,Cursed,"Witch's Reign (Desert Cursed, #1)",Shannon Mayer,,7676,4.10,"('1', '30', '2018')",2018
3,Cursed,Cursed,Jennifer L. Armentrout,Spencer Hill Press,10756,3.81,"('9', '18', '2012')",2012
4,Cursed,"From Bad to Cursed (Bad Girls Don't Die, #2)",Katie Alender,Hyperion,9038,4.19,"('6', '14', '2011')",2011
5,Cursed,"The Beautiful and the Cursed (The Dispossessed, #1)",Page Morgan,Delacorte Books for Young Readers,4176,3.76,"('5', '14', '2013')",2013
6,Cursed,"Raven Cursed (Jane Yellowrock, #4)",Faith Hunter,Roc,13970,4.22,"('1', '3', '2012')",2012
7,Cursed,"Star Cursed (The Cahill Witch Chronicles, #2)",Jessica Spotswood,G.P. Putnam's Sons,5646,4.12,"('6', '18', '2013')",2013
8,Cursed,Cursed,Thomas Wheeler,Simon & Schuster Books for Young Readers,2754,3.24,"('10', '1', '2019')",2019
9,Cursed,"Cursed (Alex Verus, #2)",Benedict Jacka,Ace,12464,4.07,"('5', '29', '2012')",2012
10,Cursed,Cursed Prince (Night Elves Trilogy #1),C.N. Crawford,,3671,3.94,"('4', '29', '2020')",2020
11,Cursed,"Cursed (The Watchers, #1)",S.J. West,Sandra West,5508,3.96,"('10', '18', '2012')",2012
12,Cursed,"Dragon's Ground (Desert Cursed, #2)",Shannon Mayer,,4957,4.50,"(None, None, None)",
13,Cursed,"Born to Love, Cursed to Feel",Samantha  King,Andrews McMeel Publishing,2371,3.81,"('9', '27', '2016')",2016
14,Cursed,"Cursed by the Gods (The Sphinx, #1)",Raye Wagner,,2104,3.70,"(None, None, None)",
15,Cursed,"Verity (Cursed, #1)",Claire Farrell,,5529,3.79,"('4', '24', '2011')",2011
16,Cursed,"Black Heart (Cursed Hearts, #1)",R.L. Mathewson,,6234,3.92,"('6', '22', '2013')",2013
17,Cursed,"Jinn's Dominion (Desert Cursed, #3)",Shannon Mayer,,4151,4.50,"(None, None, None)",
18,Cursed,"Son of the Cursed Bear (Sons of Beasts, #1)",T.S. Joyce,,3906,4.34,"(None, None, None)",
19,Cursed,"The Cursed Sea (The Glass Spare, #2)",Lauren DeStefano,Balzer + Bray,1541,3.82,"('12', '18', '2018')",2018
